Croton billbergianus,Euphorbiaceae,621,630,1022,569,362,467,634,643
Cupania cinerea,Sapindaceae,6,8,13,12,8,12,12,19
Cupania latifolia,Sapindaceae,56,52,56,52,51,51,62,77
Cupania rufescens,Sapindaceae,56,79,117,135,142,146,161,168
Cupania seemannii,Sapindaceae,959,1090,1248,1334,1425,1520,1607,1655
Cyathea petiolata,Cyatheaceae,8,3,1,0,0,0,0,0
Dendropanax arboreus,Araliaceae,175,163,141,115,103,88,79,72
Desmopsis panamensis,Annonaceae,11712,12374,12670,12194,11709,11849,11646,11671
Diospyros artanthifolia,Ebenaceae,49,57,73,84,93,101,115,131
Dipteryx oleifera,Fabaceae-papilionoideae,58,56,57,53,48,52,53,63
Drypetes standleyi,Putranjivaceae,2175,2300,2373,2324,2277,2270,2213,2234
Elaeis oleifera,Arecaceae,21,20,23,22,23,22,21,24
Enterolobium schomburgkii,Fabaceae-mimosoideae,13,13,13,13,13,14,13,14
Erythrina costaricensis,Fabaceae-papilionoideae,289,248,192,144,115,89,69,64
Erythroxylum macrophyllum,Erythroxylaceae,323,318,330,301,269,265,308,350
Erythroxylum panamense,Erythroxylaceae,105,108,116,118,108,113,121,122
Eugenia coloradoensis,Myrtaceae,809,863,878,830,701,656,655,632
Eugenia galalonensis,Myrtaceae,964,1176,1434,1588,1682,1844,2095,2421
Eugenia nesiotica,Myrtaceae,524,567,616,624,614,612,637,650
Eugenia oerstediana,Myrtaceae,2085,2252,2476,2367,2039,1906,1956,2153
Faramea occidentalis,Rubiaceae,23449,25490,27652,27947,27477,26759,25737,24622
Ficus aurea,Moraceae,8,6,5,6,6,5,5,9
Ficus bullenei,Moraceae,1,1,1,1,1,5,0,0
Ficus citrifolia,Moraceae,0,0,2,3,1,1,2,1
Ficus colubrinae,Moraceae,1,1,1,1,1,0,0,0
Ficus costaricana,Moraceae,15,10,6,7,10,7,8,7
Ficus insipida,Moraceae,9,8,7,9,16,17,17,12
Ficus maxima,Moraceae,10,10,8,6,6,7,7,6
Ficus obtusifolia,Moraceae,12,10,8,9,7,7,7,11
Ficus pertusa,Moraceae,0,0,1,1,1,0,2,3
Ficus popenoei,Moraceae,9,8,7,4,4,3,2,10
Ficus tonduzii,Moraceae,66,61,45,34,27,24,23,17
Ficus yoponensis,Moraceae,6,6,7,7,7,8,6,5
Garcinia intermedia,Clusiaceae,3649,4068,4418,4459,4583,4793,5037,5341
Garcinia madruno,Clusiaceae,656,704,572,403,393,414,420,425
