Piper reticulatum,Piperaceae,181,174,177
Pittoniotis trichantha,Rubiaceae,24,21,23
Posoqueria latifolia,Rubiaceae,132,133,135
Pouteria campechiana,Sapotaceae,38,35,32
Prockia crucis,Salicaceae,2,1,1
Protium tenuifolium,Burseraceae,558,606,656
Pseudobombax septenatum,Malvaceae,5,3,3
Psychotria acuminata,Rubiaceae,0,1,1
Psychotria grandis,Rubiaceae,8,7,7
Psychotria horizontalis,Rubiaceae,5,5,7
Psychotria marginata,Rubiaceae,0,0,1
Rauvolfia littoralis,Apocynaceae,4,3,3
Rinorea lindeniana,Violaceae,75,75,79
Rosenbergiodendron formosum,Rubiaceae,17,17,17
Sapindus saponaria,Sapindaceae,2,2,2
Schefflera morototoni,Araliaceae,1,1,2
Senna dariensis,Fabaceae-caesalpinioideae,1,1,1
Siparuna pauciflora,Siparunaceae,2,3,3
Sloanea terniflora,Elaeocarpaceae,34,33,32
Solanum cordovense,Solanaceae,0,1,1
Solanum hayesii,Solanaceae,0,2,1
Sorocea affinis,Moraceae,459,511,561
Spondias mombin,Anacardiaceae,2,2,2
Spondias radlkoferi,Anacardiaceae,5,10,7
Stemmadenia grandiflora,Apocynaceae,5,4,4
Sterculia apetala,Malvaceae,10,10,11
Stylogyne turbacensis,Myrsinaceae,38,36,30
Swartzia simplex,Fabaceae-papilionoideae,160,164,181
Swietenia macrophylla,Meliaceae,3,3,3
Tabebuia rosea,Bignoniaceae,16,16,16
Terminalia amazonia,Combretaceae,1,1,1
Terminalia oblonga,Combretaceae,2,3,3
Ternstroemia tepezapote,Pentaphylacaceae,1,0,0
Tetrathylacium johansenii,Salicaceae,2,2,2
Thevetia ahouai,Apocynaceae,23,22,23
Trichilia hirta,Meliaceae,1,1,1
Trichilia martiana,Meliaceae,12,10,13
Trichilia pleeana,Meliaceae,131,119,118
Trichilia tuberculata,Meliaceae,1,1,2
Trichospermum galeottii,Malvaceae,2,4,4
Triplaris cumingiana,Polygonaceae,121,119,121
Trophis racemosa,Moraceae,30,31,34
Turnera panamensis,Turneraceae,5,6,6
Unidentified sp.1,Unknown,3,3,3
Unidentified species,Unknown,4,2,2
Vernonanthura patens,Asteraceae,0,1,0
Vitex cooperi,Lamiaceae,3,3,3
Xylopia frutescens,Annonaceae,3,2,2
Zanthoxylum acuminatum,Rutaceae,1,1,1
Zanthoxylum panamense,Rutaceae,1,1,1
Zuelania guidonia,Salicaceae,11,9,8
