species,Family,1996,1998,1999
Bactris barronis,Arecaceae,0,0,1.3494089250318576e-4
Chrysophyllum argenteum,Sapotaceae,1.1860039380162809e-4,0,0
Geonoma cuneata,Arecaceae,1.1860039380162809e-4,0,0
Guarea sherman,Meliaceae,0,2.7884270364916114e-4,0
Pera arborea,Euphorbiaceae,0,0,0.0010204904995553422
Protium panamense,Burseraceae,0,1.594516405555222e-5,0
Tapirira guianensis,Anacardiaceae,0,0,2.5512262488883554e-4
