Nectandra purpurea,Lauraceae,16,17,17,18,15
Ochroma pyramidale,Malvaceae,0,0,0,1,0
Ocotea atirrensis,Lauraceae,19,18,16,14,15
Ocotea insularis,Lauraceae,29,32,34,36,33
Ocotea whitei,Lauraceae,1,1,1,1,0
Oenocarpus mapora,Arecaceae,65,69,67,77,107
Ormosia coccinea,Fabaceae-papilionoideae,4,4,3,4,3
Parathesis trichogyne,Myrsinaceae,3,3,3,3,2
Pera arborea,Euphorbiaceae,68,72,75,82,85
Perebea xanthochyma,Moraceae,114,114,114,115,128
Phyllanthus acuminatus,Phyllanthaceae,0,0,0,1,1
Pleuranthodendron lindenii,Salicaceae,12,11,11,10,9
Poulsenia armata,Moraceae,11,9,9,5,4
Pourouma bicolor,Urticaceae,36,38,37,36,38
Pouteria reticulata,Sapotaceae,11,10,10,8,7
Protium panamense,Burseraceae,110,112,110,112,128
Pseudolmedia spuria,Moraceae,0,0,0,1,1
Pterocarpus rohrii,Fabaceae-papilionoideae,1,1,1,0,0
Quiina schippii,Quiinaceae,4,4,4,5,6
Randia armata,Rubiaceae,0,0,0,0,1
Sapium broadleaf,Euphorbiaceae,3,3,3,3,3
Saurauia yasicae,Actinidiaceae,5,3,3,3,3
Schefflera morototoni,Araliaceae,44,45,46,37,32
Schizolobium parahyba,Fabaceae-caesalpinioideae,2,2,1,1,0
Simarouba amara,Simaroubaceae,86,82,82,70,66
Sloanea meianthera,Elaeocarpaceae,49,49,48,35,34
Sloanea terniflora,Elaeocarpaceae,1,1,1,1,1
Socratea exorrhiza,Arecaceae,290,277,298,320,397
Solanum hayesii,Solanaceae,0,0,0,0,1
Symphonia globulifera,Clusiaceae,11,11,11,10,8
Tabernaemontana arborea,Apocynaceae,7,7,7,9,8
Tachigali versicolor,Fabaceae-caesalpinioideae,9,10,10,10,15
Tapirira guianensis,Anacardiaceae,151,151,156,189,196
Terminalia amazonia,Combretaceae,3,3,3,4,5
Tetrorchidium gorgonae,Euphorbiaceae,19,19,19,17,12
Theobroma bernoullii,Malvaceae,65,67,64,62,63
Tocoyena pittieri,Rubiaceae,10,11,10,8,7
Tovomita longifolia,Clusiaceae,122,128,128,146,169
Tovomita stylosa,Clusiaceae,5,5,5,8,9
Trattinnickia aspera,Burseraceae,28,29,29,30,33
Trichilia tuberculata,Meliaceae,3,3,3,2,1
Trichospermum galeottii,Malvaceae,5,2,2,2,2
Turpinia occidentalis,Tapisciaceae,2,2,2,0,0
Unidentified species,Unknown,1,0,0,0,0
Unonopsis bullata,Annonaceae,5,5,5,5,7
Vantanea depleta,Humiriaceae,13,14,14,13,13
Virola elongata,Myristicaceae,35,33,33,48,40
Virola multiflora,Myristicaceae,42,37,39,41,50
Virola sebifera,Myristicaceae,65,67,67,87,109
Virola surinamensis,Myristicaceae,7,6,6,6,10
Vismia macrophylla,Clusiaceae,31,29,26,7,6
Vochysia ferruginea,Vochysiaceae,77,71,65,46,50
Xylopia macrantha,Annonaceae,23,23,23,23,27
