Cupania latifolia,Sapindaceae,48,40,42,33,31,33,47,61
Cupania rufescens,Sapindaceae,51,67,91,106,93,90,99,118
Cupania seemannii,Sapindaceae,931,1008,1101,1125,1159,1157,1218,1282
Cyathea petiolata,Cyatheaceae,8,3,1,0,0,0,0,0
Dendropanax arboreus,Araliaceae,70,58,42,27,26,20,18,9
Desmopsis panamensis,Annonaceae,11694,12103,12128,11741,11269,11311,11021,10868
Diospyros artanthifolia,Ebenaceae,40,43,57,64,71,78,91,108
Dipteryx oleifera,Fabaceae-papilionoideae,23,19,19,17,12,18,20,28
Drypetes standleyi,Putranjivaceae,1978,2036,2017,1954,1887,1864,1789,1800
Enterolobium schomburgkii,Fabaceae-mimosoideae,11,10,11,11,10,10,10,10
Erythrina costaricensis,Fabaceae-papilionoideae,241,188,153,113,87,70,55,45
Erythroxylum macrophyllum,Erythroxylaceae,306,285,283,256,229,227,274,308
Erythroxylum panamense,Erythroxylaceae,105,106,111,112,102,110,113,118
Eugenia coloradoensis,Myrtaceae,731,766,754,697,572,532,526,498
Eugenia galalonensis,Myrtaceae,943,1137,1369,1493,1572,1734,1961,2257
Eugenia nesiotica,Myrtaceae,475,496,497,481,462,436,457,471
Eugenia oerstediana,Myrtaceae,1952,2064,2184,2038,1738,1632,1671,1867
Faramea occidentalis,Rubiaceae,22217,23738,25247,25418,24922,24123,22944,21695
Ficus aurea,Moraceae,2,1,0,1,1,1,1,5
Ficus bullenei,Moraceae,0,0,0,1,1,5,0,0
Ficus citrifolia,Moraceae,0,0,2,3,1,1,2,1
Ficus costaricana,Moraceae,8,4,0,1,4,2,3,4
Ficus insipida,Moraceae,6,5,4,6,14,16,15,12
Ficus maxima,Moraceae,6,5,6,3,2,3,1,1
Ficus obtusifolia,Moraceae,2,2,0,1,0,0,1,5
Ficus pertusa,Moraceae,0,0,1,1,1,0,2,2
Ficus popenoei,Moraceae,2,2,2,1,0,1,0,8
Ficus tonduzii,Moraceae,24,24,15,10,8,10,9,4
Ficus yoponensis,Moraceae,0,0,1,1,2,3,1,0
Garcinia intermedia,Clusiaceae,3571,3936,4206,4200,4291,4470,4675,4955
Garcinia madruno,Clusiaceae,633,664,506,365,366,387,389,393
Genipa americana,Rubiaceae,70,66,62,51,50,46,47,47
Geonoma interrupta,Arecaceae,19,14,3,0,0,0,0,0
Guapira standleyana,Nyctaginaceae,141,118,92,86,65,61,60,60
Guarea bullata,Meliaceae,1453,1397,1294,1158,974,775,680,578
Guarea grandifolia,Meliaceae,43,44,50,55,56,50,57,66
Guarea guidonia,Meliaceae,1410,1465,1588,1547,1464,1412,1530,1611
Guatteria dumetorum,Annonaceae,1299,1245,1192,1011,818,701,709,720
Guazuma ulmifolia,Malvaceae,27,19,18,11,24,26,32,33
Guettarda foliacea,Rubiaceae,306,300,291,255,228,204,192,175
Gustavia superba,Lecythidaceae,244,178,177,146,114,115,85,89
Hamelia axillaris,Rubiaceae,113,92,108,117,88,98,128,103
Hamelia patens,Rubiaceae,0,2,2,1,1,1,0,0
