Geonoma congesta,Arecaceae,616,592,586,628,663
Geonoma cuneata,Arecaceae,257,246,242,260,249
Geonoma deversa,Arecaceae,2,2,2,1,1
Geonoma interrupta,Arecaceae,11,8,8,17,19
Grias cauliflora,Lecythidaceae,1,1,1,1,1
Guarea bullata,Meliaceae,3,3,4,4,4
Guarea grandifolia,Meliaceae,1,0,0,0,0
Guarea sherman,Meliaceae,46,46,46,46,47
Guatteria amplifolia,Annonaceae,72,67,63,56,59
Guatteria dumetorum,Annonaceae,171,159,163,183,183
Guazuma ulmifolia,Malvaceae,0,0,0,1,1
Gustavia fosteri,Lecythidaceae,1,1,1,1,1
Gustavia superba,Lecythidaceae,4,4,4,3,3
Hampea appendiculata,Malvaceae,10,8,8,16,6
Heisteria acuminata,Erythropalaceae,175,173,181,198,191
Heisteria concinna,Erythropalaceae,4,3,3,4,4
Henriettea succosa,Melastomataceae,27,23,22,19,21
Herrania nycterodendron,Malvaceae,23,18,16,16,9
Herrania purpurea,Malvaceae,3,2,2,2,2
Hieronyma alchorneoides,Euphorbiaceae,2,1,1,2,4
Hirtella racemosa,Chrysobalanaceae,110,107,107,98,93
Hirtella triandra,Chrysobalanaceae,6,6,5,10,8
Hoffmannia subauriculata,Rubiaceae,0,0,0,0,10
Humiriastrum diguense,Humiriaceae,8,8,9,15,14
Hymenolobium mesoamericanum,Fabaceae-papilionoideae,11,11,11,12,9
Inga bella,Fabaceae-mimosoideae,1,1,1,4,4
Inga cocleensis,Fabaceae-mimosoideae,85,66,66,33,28
Inga goldmanii,Fabaceae-mimosoideae,14,12,10,11,13
Inga multijuga,Fabaceae-mimosoideae,31,27,27,5,2
Inga nobilis,Fabaceae-mimosoideae,1,1,0,0,0
Inga pezizifera,Fabaceae-mimosoideae,290,228,210,178,209
Inga sertulifera,Fabaceae-mimosoideae,35,36,36,27,25
Inga spectabilis,Fabaceae-mimosoideae,2,2,1,2,2
Inga thibaudiana,Fabaceae-mimosoideae,3,2,3,58,63
Jacaranda copaia,Bignoniaceae,119,82,67,65,70
Lacistema aggregatum,Lacistemataceae,273,268,272,337,342
Lacmellea panamensis,Apocynaceae,95,92,87,58,46
Laetia procera,Salicaceae,14,13,13,4,4
Laetia thamnia,Salicaceae,1,1,0,0,0
Leandra dichotoma,Melastomataceae,0,0,0,0,1
Leandra granatensis,Melastomataceae,3,2,1,20,7
Licania hypoleuca,Chrysobalanaceae,64,64,67,87,106
Lonchocarpus heptaphyllus,Fabaceae-papilionoideae,8,8,6,47,54
Lozania pittieri,Lacistemataceae,122,103,111,118,100
Lunania parviflora,Salicaceae,1,1,1,0,0
Manilkara bidentata,Sapotaceae,237,245,257,335,390
Maquira guianensis,Moraceae,98,88,91,84,88
Maranthes panamensis,Chrysobalanaceae,169,166,170,189,189
Marila laxiflora,Clusiaceae,387,366,380,423,412
Matayba apetala,Sapindaceae,200,191,197,178,167
Maytenus schippii,Celastraceae,13,14,14,13,13
Meliosma glabrata,Sabiaceae,10,8,9,6,4
Miconia affinis,Melastomataceae,114,111,121,116,72
Miconia argentea,Melastomataceae,10,9,9,2,1
Miconia elata,Melastomataceae,59,59,65,71,49
Miconia ligulata,Melastomataceae,323,285,279,316,280
Miconia multispicata,Melastomataceae,11,11,12,35,27
Miconia nervosa,Melastomataceae,16,15,17,17,9
Miconia poeppigii,Melastomataceae,66,45,34,27,48
Miconia prasina,Melastomataceae,0,0,1,6,4
Miconia serrulata,Melastomataceae,49,43,42,47,34
Miconia simplex,Melastomataceae,250,249,256,243,269
Miconia sp.5,Melastomataceae,3,3,6,5,0
