Mnemonic,1,2,3,4,5,6,7,8
ingaru,38,31,22,16,12,8,8,7
ingas1,211,256,307,343,372,430,608,895
ingasa,395,359,332,293,249,205,197,210
ingasp,22,23,23,19,17,19,19,20
ingath,61,78,95,116,129,179,231,287
ingaum,951,1003,1045,953,827,792,764,770
jac1co,343,320,299,278,264,280,327,307
jac2sp,NA,NA,NA,NA,NA,NA,NA,5
koanwe,15,12,12,9,3,NA,NA,NA
laciag,1560,1669,1699,1632,1405,1275,1261,1352
lacmpa,92,92,99,103,98,100,102,104
laetpr,24,23,30,27,26,25,28,33
laetth,512,517,540,529,451,411,409,433
lafopu,10,9,8,8,7,6,6,4
leandi,NA,1,1,NA,1,1,1,3
licahy,120,121,134,138,127,128,141,160
licapl,252,293,314,306,281,266,250,240
lindla,110,97,90,84,71,59,53,38
loncla,845,850,894,838,737,660,667,631
lopida,1,1,NA,NA,NA,NA,NA,NA
lozapi,18,15,7,4,3,1,1,1
luehse,188,190,225,208,216,191,216,197
lycima,1,1,NA,NA,NA,NA,NA,NA
maclti,2,2,1,1,1,1,1,1
macrgl,100,105,110,104,91,93,86,89
malmsp,276,320,372,405,437,474,503,540
malpro,51,61,57,50,42,37,37,41
maquco,1417,1443,1502,1489,1459,1394,1314,1227
mar1la,23,27,23,23,23,24,22,25
margno,3,4,6,4,3,2,2,2
maytsc,88,88,94,94,85,80,77,78
micoaf,369,392,436,395,376,388,436,443
micoar,530,677,900,799,600,519,676,635
micodo,NA,NA,NA,NA,1,2,2,3
micoel,34,31,30,21,17,12,11,9
micoho,30,29,37,48,55,58,70,75
micoim,10,9,14,13,14,14,11,11
micone,358,293,319,251,293,260,386,409
micopr,NA,NA,2,2,2,2,4,4
mourmy,6924,7678,7583,7120,6500,6534,6804,7053
myrcga,41,50,57,50,48,46,56,65
myrofr,26,22,21,17,14,9,17,11
nectci,351,341,316,255,197,179,181,172
nectgl,114,111,115,106,102,115,216,218
nectpu,85,80,85,88,77,71,79,88
nects1,9,9,6,3,3,2,1,1
nects3,1,1,NA,NA,NA,NA,NA,NA
neeaam,62,71,68,63,64,69,63,54
ochrpy,4,8,6,6,9,10,11,7
ocotce,355,347,342,302,225,238,289,341
ocotob,217,187,192,169,147,162,240,288
ocotpu,270,244,223,173,133,131,161,166
ocotwh,1118,926,754,565,428,374,389,391
oenoma,1780,1701,1788,1847,1830,1787,1802,1788
olmeas,441,374,278,213,175,149,136,124
oreoca,NA,NA,NA,NA,NA,NA,1,NA
ormoam,1,2,2,2,1,1,1,1
ormocr,53,56,70,80,88,106,108,113
ormoma,73,81,108,115,110,111,106,109
ouralu,1123,1239,1266,1205,1192,1227,1207,1200
paligu,376,661,1474,1053,865,851,1119,1321
pentma,568,512,452,373,307,299,306,313
perexa,269,269,274,260,243,235,228,221
phoeci,89,84,87,75,61,59,75,71
picrla,1170,1177,1178,1116,1048,1059,1078,1133
pipea1,107,83,60,38,22,19,24,24
pipeae,220,159,84,52,26,27,26,32
pipeca,12,10,4,1,4,5,3,2
pipeco,3143,3706,1772,394,92,49,58,68
pipecu,120,65,53,29,21,16,9,8
pipeim,9,3,3,1,1,NA,NA,4
pipelo,NA,NA,NA,NA,NA,NA,NA,1
pipepe,110,118,68,39,25,17,11,12
pipere,181,170,150,132,123,131,136,135
pit1ma,10,10,11,12,12,16,32,43
pit1ru,2,2,2,2,2,2,2,2
pla1pi,184,169,160,171,147,148,163,178
pla2el,174,161,163,140,122,122,109,101
pochqu,2,1,1,1,1,1,1,1
pochse,25,24,23,21,17,15,19,18
posola,76,80,77,79,72,71,73,75
