Clidemia dentata	Melastomataceae	Pav. ex D. Don	8	14	17	5	13	17	33	44
Clidemia octona	Melastomataceae	(Bonpl.) L.O. Williams	3	6	9	6	12	12	10	7
Clidemia septuplinervia	Melastomataceae	Cogn.	1	2	0	0	1	3	0	1
Cyathea petiolata	Cyatheaceae	(Hook.) R.M. Tryon	8	3	1	0	0	0	0	0
Coccoloba coronata	Polygonaceae	Jacq.	181	191	185	144	115	112	138	131
Coccoloba manzinellensis	Polygonaceae	Beurl.	445	446	469	456	402	371	351	326
Colubrina glandulosa	Rhamnaceae	Perkins	2	1	1	2	4	1	4	3
Conostegia bracteata	Melastomataceae	Triana	4	4	3	2	10	5	7	5
Conostegia cinnamomea	Melastomataceae	(Beurl.) Wurdack	389	279	207	153	124	98	102	83
Cordia alliodora	Cordiaceae	(Ruiz & Pav.) Oken	111	108	118	107	94	147	189	221
Cordia bicolor	Cordiaceae	A.DC.	716	758	1043	966	764	657	681	729
Cordia lasiocalyx	Cordiaceae	Pittier	1703	1670	1695	1543	1286	1174	1144	1077
Coussarea curvigemmia	Rubiaceae	Dwyer	1508	1668	1971	2042	2078	2061	2014	1962
Coutarea hexandra	Rubiaceae	(Jacq.) K.Schum.	2	2	2	2	2	3	3	3
Croton billbergianus	Euphorbiaceae	Müll.Arg.	621	621	1013	561	358	467	631	630
Cupania cinerea	Sapindaceae	Poepp.	6	8	13	10	7	11	12	19
Cupania latifolia	Sapindaceae	Kunth	56	49	52	45	43	46	57	70
Cupania rufescens	Sapindaceae	Triana & Planch.	56	73	97	110	95	92	103	124
Cupania seemannii	Sapindaceae	Triana & Planch.	959	1038	1141	1172	1207	1209	1271	1338
Solanum circinatum	Solanaceae	Bohs	5	4	3	1	0	5	5	28
Dendropanax arboreus	Araliaceae	(L.) Decne. & Planch.	175	160	135	114	103	88	79	69
Desmopsis panamensis	Annonaceae	(B.L.Rob.) Saff.	11711	12118	12140	11754	11282	11322	11033	10880
Diospyros artanthifolia	Ebenaceae	Mart. ex Miq.	49	55	71	80	88	95	108	125
Dipteryx oleifera	Fabaceae	Benth.	57	53	54	51	46	52	53	61
Drypetes standleyi	Putranjivaceae	G.L.Webster	2175	2264	2279	2239	2192	2181	2113	2141
Elaeis oleifera	Arecaceae	(Kunth) Cortés	21	20	21	21	22	21	20	24
Enterolobium schomburgkii	Fabaceae	(Benth.) Benth.	13	12	13	13	13	14	13	14
Erythrina costaricensis	Fabaceae	Micheli	289	235	184	140	113	89	68	60
Erythroxylum macrophyllum	Erythroxylaceae	Cav.	323	304	298	273	244	241	284	317
Erythroxylum panamense	Erythroxylaceae	Turcz.	105	106	111	112	102	110	113	118
Eugenia coloradoensis	Myrtaceae	Standl.	809	846	838	779	658	614	611	586
Eugenia galalonensis	Myrtaceae	(C.Wright ex Griseb.) Krug & Urb.	964	1163	1385	1505	1588	1751	1974	2269
Eugenia nesiotica	Myrtaceae	Standl.	524	545	551	535	515	486	504	518
Eugenia oerstediana	Myrtaceae	O.Berg	2085	2204	2343	2215	1925	1819	1837	2023
Faramea occidentalis	Rubiaceae	(L.) A.Rich.	23444	25137	26895	27135	26750	26032	24986	23777
Ficus matiziana	Moraceae	Dugand	1	1	1	1	1	5	0	0
Ficus colubrinae	Moraceae	Standl.	1	1	1	1	1	0	0	0
Ficus costaricana	Moraceae	(Liebm.) Miq.	15	10	6	7	10	7	8	6
Ficus citrifolia	Moraceae	Mill.	0	0	2	3	1	1	2	1
Ficus insipida	Moraceae	Willd.	9	8	7	9	16	17	17	12
Ficus maxima	Moraceae	Mill.	10	10	8	6	6	7	6	5
Ficus obtusifolia	Moraceae	Kunth	12	10	8	9	7	7	7	11
Ficus pertusa	Moraceae	L.f.	0	0	1	1	1	0	2	2
Ficus popenoei	Moraceae	Standl.	9	8	7	4	4	3	2	10
Ficus tonduzii	Moraceae	Standl.	66	61	45	33	27	24	23	14
Ficus trigonata	Moraceae	L.	8	5	5	6	6	5	5	9
Ficus yoponensis	Moraceae	Desv.	6	6	7	7	7	8	6	5
Garcinia recondita	Clusiaceae	Hammel	3649	4013	4289	4294	4403	4598	4818	5120
Garcinia madruno	Clusiaceae	(Kunth) Hammel	655	688	528	375	374	395	402	406
Genipa americana	Rubiaceae	L.	90	86	83	73	70	66	67	65
Geonoma interrupta	Arecaceae	(Ruiz & Pav.) Mart.	19	14	3	0	0	0	0	0
Guapira standleyana	Nyctaginaceae	Woodson	231	209	192	185	164	163	155	157
