Ficus sp.3	Moraceae		1	0	0	0
Ficus sp.6	Moraceae		1	0	0	0
Ficus bullenei	Moraceae	I.M. Johnst.	1	1	1	0
Ficus citrifolia	Moraceae	Mill.	5	2	2	2
Ficus insipida	Moraceae	Willd.	0	0	1	2
Ficus maxima	Moraceae	Mill.	4	4	4	2
Ficus nymphaeifolia	Moraceae	Mill.	1	1	1	0
Ficus tonduzii	Moraceae	Standl.	3	3	3	4
Garcinia intermedia	Clusiaceae	(Pittier) Hammel	0	0	0	1
Garcinia madruno	Clusiaceae	(H. B. K.) Hammel	201	199	204	247
Geonoma congesta	Arecaceae	H. Wendl. ex Spruce	616	593	587	629
Geonoma cuneata	Arecaceae	H. Wendl. ex Spruce	256	244	240	260
Geonoma deversa	Arecaceae	(Poit.) Kunth.	2	2	2	1
Geonoma interrupta	Arecaceae	(Ruiz & Pav.) Mart.	11	8	8	16
Grias cauliflora	Lecythidaceae	L.	1	1	1	1
Guarea sherman	Meliaceae		53	53	53	53
Guarea grandifolia	Meliaceae	DC.	1	0	0	0
Guarea guidonia	Meliaceae	(L.) Sleumer	1	1	1	0
Guarea bullata	Meliaceae	Radlk.	3	3	4	4
Guatteria amplifolia	Annonaceae	Triana & Planch.	73	67	63	57
Guatteria dumetorum	Annonaceae	R.E. Fr.	233	219	223	249
Guazuma ulmifolia	Malvaceae	Lam.	0	0	0	1
Gustavia fosteri	Lecythidaceae	S.A. Mori	1	1	1	1
Gustavia superba	Lecythidaceae	(Kunth) O. Berg	6	5	5	4
Hampea appendiculata	Malvaceae	(Donn. Sm.) Standl.	12	11	10	17
Heisteria acuminata	Erythropalaceae	(Humb. & Bonpl.) Engl.	186	183	191	203
Heisteria concinna	Erythropalaceae	Standl.	7	6	6	7
Henriettea succosa	Melastomataceae	(Aubl.) DC.	29	26	24	20
Herrania nycterodendron	Malvaceae	R.E. Schult.	23	18	16	16
Herrania purpurea	Malvaceae	(Pittier) R.E. Schult.	3	2	2	2
Hirtella racemosa	Chrysobalanaceae	Lam.	110	107	107	98
Hirtella triandra	Chrysobalanaceae	Sw.	6	6	5	10
Humiriastrum diguense	Humiriaceae	(Cuatrec.) Cuatrec.	13	13	14	20
Hieronyma alchorneoides	Euphorbiaceae	Alleṃo	2	1	1	2
Hymenolobium mesoamericanum	Fabaceae	H.C. Lima	11	11	11	9
Inga bella	Fabaceae	M. Sousa	0	0	0	3
Inga cocleensis*	Fabaceae	Pittier	125	102	96	46
Inga goldmanii	Fabaceae	Pittier	16	14	13	12
Inga multijuga*	Fabaceae	Benth.	52	48	50	14
Inga pezizifera	Fabaceae	Benth.	444	365	337	209
Inga nobilis	Fabaceae	Willd.	3	3	2	1
Inga sertulifera	Fabaceae	DC.	36	37	37	32
Inga spectabilis	Fabaceae	(Vahl) Willd.	5	5	5	5
Inga thibaudiana	Fabaceae	DC.	2	2	2	57
Jacaranda copaia	Bignoniaceae	(Aubl.) D. Don	397	345	289	140
Jacaratia spinosa	Caricaceae	(Aubl.) A. DC.	3	2	2	1
Lacistema aggregatum	Lacistemataceae	(P.J. Bergius) Rusby	278	272	278	346
Lacmellea panamensis	Apocynaceae	(Woodson) Markgr.	109	104	98	74
Laetia procera	Salicaceae	(Poepp.) Eichler	19	18	18	12
Laetia thamnia	Salicaceae	L.	1	1	1	0
Leandra granatensis	Melastomataceae	Gleason	3	2	1	20
Licania hypoleuca	Chrysobalanaceae	Benth.	79	79	81	99
Lonchocarpus atropurpureus	Fabaceae	Benth.	0	0	0	1
Lonchocarpus heptaphyllus	Fabaceae	(Poir.) DC.	11	10	9	48
Lozania pittieri	Lacistemataceae	(S.F. Blake) L.B. Sm.	128	109	117	123
Lunania parviflora	Salicaceae	Spruce ex Benth.	1	1	1	1
Mosannona garwoodii	Annonaceae	Chatrou & Welzenis	2	2	2	1
Manilkara bidentata	Sapotaceae	(A. DC.) A. Chev.	299	305	318	399
Maquira guianensis	Moraceae	Aubl.	112	99	102	89
Marila laxiflora	Clusiaceae	Rusby	515	499	516	571
Maranthes panamensis	Chrysobalanaceae	(Standl.) Prance & F. White	187	183	188	208
Matayba apetala	Sapindaceae	Radlk.	214	206	212	198
Maytenus schippii	Celastraceae	Lundell	12	13	13	12
Meliosma glabrata	Sabiaceae	(Liebm.) Urb.	13	11	12	9
Miconia sp.3	Melastomataceae		85	84	81	41
Miconia sp.5	Melastomataceae		4	4	8	6
Miconia affinis	Melastomataceae	DC.	114	111	121	113
Miconia argentea	Melastomataceae	(Sw.) DC.	11	10	10	3
Miconia elata	Melastomataceae	(Sw.) DC.	70	67	73	72
Miconia ligulata	Melastomataceae	Almeda	325	287	283	322
Miconia multispicata	Melastomataceae	Naudin	14	15	15	37
Miconia nervosa	Melastomataceae	(Sm.) Triana	16	15	17	18
Miconia poeppigii	Melastomataceae	Triana	157	136	120	106
Miconia prasina	Melastomataceae	(Sw.) DC.	1	1	2	6
Miconia serrulata	Melastomataceae	(DC.) Naudin	49	43	42	47
Miconia simplex	Melastomataceae	Triana	251	248	254	242
Mollinedia darienensis	Monimiaceae	Standl.	177	167	171	115
Mollinedia pinchotiana	Monimiaceae	Perkins	0	0	0	23
Mortoniodendron anisophyllum	Malvaceae	(Standl.) Standl. & Steyerm.	59	54	53	42
Mouriri myrtilloides	Melastomataceae	(Sw.) Poir.	45	44	46	43
Myrciaria sp.2	Myrtaceae		23	23	23	18
Myrciaria floribunda	Myrtaceae	(H. West ex Willd.) O. Berg	1	1	1	10
Myrcia gatunensis	Myrtaceae	Standl.	98	98	100	90
Aulomyrcia zetekiana	Myrtaceae	(Standl.) Amshoff	51	50	49	47
Myriocarpa longipes	Urticaceae	Liebm.	0	0	0	1
Nectandra purpurea	Lauraceae	(Ruiz & Pav.) Mez	153	141	151	151
Neea amplifolia	Nyctaginaceae	Donn. Sm.	56	57	57	42
Neea delicatula	Nyctaginaceae	Standl.	0	0	1	0
Ochroma pyramidale	Malvaceae	(Cav. ex Lam.) Urb.	0	0	2	1
Ocotea sp.5	Lauraceae		3	2	2	1
Ocotea cernua	Lauraceae	(Nees) Mez	2	1	1	3
Ocotea dendrodaphne	Lauraceae	Mez	145	131	124	83
Ocotea insularis	Lauraceae	(Meisn.) Mez	84	80	84	101
Ocotea oblonga	Lauraceae	(Meisn.) Mez	1	1	1	0
Ocotea puberula	Lauraceae	(Rich.) Nees	4	4	3	5
Ocotea whitei	Lauraceae	Woodson	2	2	2	2
Oenocarpus mapora	Arecaceae	H. Karst.	283	278	276	282
Ormosia coccinea	Fabaceae	(Aubl.) Jacks.	18	16	17	20
